Code;svenska;shortTitle;inclusion;exclusion;criteria;consider;note
-30;Medicinsk undersökning / grundlig;Medical examin/health eval complete;"complete examination of  one body system or the whole body; complete check-up; well-baby exam; school health care exam for children/youth";;;"medical examination/health evaluation partial -31; physical function test -39";
-31;Medicinsk undersökning / partiell;Medical examin/health eval partial;"focussed examination; clinical screening of single health problems";;"an examination focussed on a specific part of a body system, e.g. heart auscultation or blood pressure measurement K31; or body temperature measurement A31";"medical examination/health evaluation complete -30; physical function test -39";
-32;Allergitest;Sensitivity test;"skin prick-test; patch test; Mantoux test; radioallergosorbent test (RAST) test; food exposure; methacholine challenge test";desensitisation -44;tests to detect/exclude allergy/intolerance;blood test -34;
-33;Mikrobiologiskt /annat immunologiskt test;Microbiological/immunological test;"test of blood; microbiological test of urine; microbiological test of faeces; microbiologic test of sputum; microbiological test of throat; microbiological test of skin; microbiological test of vaginal discharge; antigen or antibody testing e.g. testing for human immunodeficiency virus, human papilloma virus or hepatitis B; antibody titer";"Mantoux test -32; blood group and type -34; semen analysis -38";test relating to bacteria, virus or other micro-organisms;"blood test -34; urine test -35; faeces test -36; histological or exfoliative cytology -37;  biopsy of organ/skin -52";Chemical tests belong to the substrate/substance in which the test is done, whereas microbiological/immunological tests belong to -33 and histological/exfoliative cytology tests to -37.
-34;Blodprov;Blood test;"blood group and type; erythrocyte sedimentation rate (ESR); white blood cell count (WBC); basic metabolic panel; blood hormone level; blood enzyme level; blood drug level; blood alcohol level; C-reactive protein (CRP); prothrombin time (INR); D-dimer; arterial blood gases; calculation of creatinine clearance; blood pregnancy test";"radioallergosorbent test (RAST) -32; blood cultures -33; measurement of  creatinine clearance -35; albumin:creatinine ratio -35";a laboratory analysis performed on a blood sample;microbiological/immunological test -33;Chemical tests belong to the substrate/substance in which the test is done, whereas microbiological/immunological tests belong to -33 and histological/exfoliative cytology tests to -37.
-35;Urinprov;Urine test;"urine strip test; test for drugs in urine; urine pregnancy test; measurement of albumin: creatinine ratio ";"microscopic examination of urine -37; blood pregnancy test -34; calculation of creatinine clearance -34";a laboratory analysis performed on a urine sample;microbiological/immunological test -33;Chemical tests belong to the substrate/substance in which the test is done, whereas microbiological/immunological tests belong to -33 and histological/exfoliative cytology tests to -37.
-36;Avföringsprov;Faeces test;"stool ova/cyst/parasites test; test for occult blood";microbiological culture of faeces -33;a laboratory analysis performed on a faeces sample with the exception of microbiological tests;;Chemical tests belong to the substrate/substance in which the test is done, whereas microbiological/immunological tests belong to -33 and histological/exfoliative cytology tests to -37.
-37;Histologiskt / cytologiskt prov;Histological/exfoliative cytology;"histological or cytological examination of  tissue or fluid retrieved by punction/biopsy/excision/swabbing/collection;  urine cytology; sputum analysis; semen analysis";"microbiological test -33; skin scrapings -33";histological or cytological examination of cells collected from the body as a means of detecting cellular changes;;
-38;Annat laboratorieprov UNS;Other laboratory test NEC;"DNA/genetic/chromosome test; paternity test; semen analysis; sweat test; tear drop test; Helicobacter pylori breath test -38; any other laboratory test not included in the rubrics -32 to -37";"exercise tests using imaging -41; electrical tracing -42; Holter monitoring -42 ";;antenatal  chromosome screening: double code blood test -34 and imaging test -41;
-39;Kliniskt funktionstest;Physical function test;"tympanometry; audiometry; tonometry; vision test; visual field; colour vision; calorimetric/vestibular function test; spirometry; urinary flowmetry ";"exercise test using imaging -41; exercise test using electrical tracing -42; Holter monitoring -42; mental function test -43";quantitative test to measure capacity of body functions excluding the mental state ;;
